"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.937222125E0,-1.275946655E0,3.483705597E0,8.084089050E0,8.894759149E0
2.947174125E0,-1.156644745E0,3.557502136E0,8.075407104E0,8.899766762E0
2.957127125E0,-1.101559296E0,3.682192841E0,7.975415039E0,8.853204055E0
2.967079125E0,-1.007405090E0,3.813469849E0,7.717501373E0,8.667020523E0
2.977031125E0,-8.575666809E-1,3.978127441E0,7.357649689E0,8.408087029E0
2.986983125E0,-6.116281128E-1,4.235891418E0,7.019502869E0,8.221331132E0
2.996936125E0,-4.327500916E-1,4.554129639E0,6.898554382E0,8.277525112E0
3.006888125E0,-2.850073242E-1,4.813390503E0,6.961423645E0,8.468256991E0
3.016840125E0,-1.384620667E-1,4.907993774E0,7.110214233E0,8.640759288E0
3.026793125E0,-3.772155762E-2,4.866230621E0,7.253166962E0,8.734417803E0
3.036745125E0,-7.185058594E-2,4.758005676E0,7.338190155E0,8.746017109E0
3.046697125E0,-2.177970886E-1,4.639901276E0,7.310497742E0,8.661379604E0
3.056649125E0,-4.770579529E-1,4.551285553E0,7.165149994E0,8.501832679E0
3.066602125E0,-7.414082336E-1,4.536166992E0,6.937922516E0,8.322335369E0
3.076554125E0,-9.063652039E-1,4.575834503E0,6.734345856E0,8.192140953E0
3.086506125E0,-9.313632202E-1,4.667893066E0,6.648574219E0,8.176808807E0
3.096459125E0,-8.773255920E-1,4.791685638E0,6.682254181E0,8.269369528E0
3.106411125E0,-8.406518555E-1,4.901407471E0,6.849007416E0,8.464005749E0
3.116363125E0,-8.077203369E-1,4.965474243E0,7.088060303E0,8.691889637E0
3.126316125E0,-7.479945374E-1,5.028044128E0,7.303462372E0,8.898386719E0
3.136268125E0,-7.024891663E-1,5.105882263E0,7.487130432E0,9.089590025E0
3.146220125E0,-7.545808411E-1,5.176535339E0,7.488777008E0,9.134970796E0
3.156172125E0,-8.478369141E-1,5.230872345E0,7.224576416E0,8.959651629E0
3.166125125E0,-9.952803040E-1,5.285359039E0,6.868766327E0,8.723849719E0
3.176077125E0,-1.153501282E0,5.362299042E0,6.600524139E0,8.582058910E0
3.186029125E0,-1.309776306E0,5.441334686E0,6.508914642E0,8.584265080E0
3.195982125E0,-1.490899658E0,5.550158386E0,6.664740601E0,8.800329947E0
3.205934125E0,-1.620679779E0,5.665119324E0,6.982829132E0,9.136743544E0
3.215886125E0,-1.701511688E0,5.753735046E0,7.323071594E0,9.467205849E0
3.225838125E0,-1.715133362E0,5.799988861E0,7.602091370E0,9.714594507E0
3.235791125E0,-1.661544800E0,5.819598083E0,7.786208496E0,9.861718700E0
3.245743125E0,-1.553768921E0,5.816903687E0,7.920479279E0,9.949098369E0
3.255695125E0,-1.429826660E0,5.817801819E0,8.051456909E0,1.003579497E1
