"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.465270875E0	-7.075785828E-1	1.126916565E1	4.677772522E-1	1.130104320E1
2.475241875E0	-9.933343506E-1	1.129087051E1	-5.023553467E-1	1.134560845E1
2.485213875E0	-8.771759033E-1	1.145343246E1	-6.373745728E-1	1.150464250E1
2.495185875E0	-2.404000854E-1	1.178020294E1	5.560935974E-1	1.179577101E1
2.505157875E0	5.632786560E-1	1.193602890E1	2.285746765E0	1.216596511E1
2.515128875E0	9.065148926E-1	1.174293045E1	3.302731934E0	1.223217982E1
2.525100875E0	9.126521301E-1	1.123249191E1	3.709735565E0	1.186439828E1
2.535072875E0	6.489006042E-1	1.069989944E1	3.450325012E0	1.126115726E1
2.545044875E0	-3.727249146E-2	1.025352768E1	2.901117096E0	1.065611090E1
2.555015875E0	-4.709207153E-1	9.856553192E0	2.377805328E0	1.015023967E1
2.564987875E0	-6.956034851E-1	9.546248474E0	1.937720490E0	9.765730123E0
2.574959875E0	-6.532415771E-1	9.349258118E0	1.609602814E0	9.509267749E0
2.584931875E0	-2.610571289E-1	9.239835663E0	1.559606781E0	9.374171281E0
2.594902875E0	1.203497314E-1	9.183552704E0	1.672621765E0	9.335405074E0
2.604874875E0	3.004252625E-1	9.088051300E0	1.697021027E0	9.250016872E0
2.614846875E0	3.490740967E-1	8.864416351E0	1.567540283E0	9.008713144E0
2.624817875E0	2.565664673E-1	8.614585876E0	1.294657745E0	8.715104982E0
2.634789875E0	4.640350342E-2	8.340954895E0	8.881031799E-1	8.388230392E0
2.644761875E0	-2.100132751E-1	8.137827301E0	5.381309509E-1	8.158303971E0
2.654733875E0	-3.288661194E-1	8.013585663E0	3.998185730E-1	8.030290343E0
2.664704875E0	-3.896397400E-1	7.949967957E0	5.736071777E-1	7.980152557E0
2.674676875E0	-4.649331665E-1	7.948770447E0	7.713459778E-1	7.999630559E0
2.684648875E0	-6.502478027E-1	7.986941071E0	8.111631775E-1	8.054317822E0
2.694620875E0	-8.008346558E-1	7.944130096E0	7.372169495E-1	8.018355690E0
2.704591875E0	-9.439370728E-1	8.012837219E0	6.236032104E-1	8.092308599E0
2.714563875E0	-9.361532593E-1	8.233777771E0	6.382727051E-1	8.311370005E0
2.724535875E0	-7.857160950E-1	8.546627197E0	7.854167175E-1	8.618530365E0
2.734506875E0	-7.373666382E-1	8.825497284E0	9.470805359E-1	8.906743143E0
2.744478875E0	-5.634283447E-1	9.058113556E0	1.133592682E0	9.146141539E0
2.754450875E0	-3.471281433E-1	9.216633911E0	1.273252258E0	9.310639608E0
2.764422875E0	-2.088157654E-1	9.382788391E0	1.281335449E0	9.472177287E0
2.774393875E0	-1.017883301E-2	9.605525208E0	1.412911835E0	9.708889636E0
2.784365875E0	1.758842468E-1	9.775421906E0	1.545086975E0	9.898338369E0
2.794337875E0	2.323168945E-1	9.856253815E0	1.276246033E0	9.941253157E0
2.804309875E0	4.456233215E-1	1.012509476E1	9.201365662E-1	1.017657974E1
2.814280875E0	5.890251160E-1	1.035621414E1	3.830534363E-1	1.038002177E1
2.824252875E0	6.500981140E-1	1.037163208E1	-2.639012146E-1	1.039533662E1
2.834224875E0	5.933660889E-1	1.027912445E1	-7.225474548E-1	1.032155791E1
2.844196875E0	4.373904419E-1	1.016087036E1	-8.572673035E-1	1.020634627E1
2.854167875E0	4.709207153E-1	1.000534378E1	-5.146298218E-1	1.002963181E1
2.864139875E0	3.537144470E-1	9.904603271E0	6.960525513E-2	9.911161626E0
2.874111875E0	-1.064286804E-1	9.645342407E0	1.862127686E-1	9.647726800E0
2.884082875E0	-4.921765137E-1	9.285341034E0	-1.055305481E-1	9.298974811E0
2.894054875E0	-8.313711548E-1	9.098379822E0	-4.507127380E-1	9.147395004E0
